Passage,Statement,Type
"The use of kohl for painting the eyes is mentioned three times in the Bible, always with disapproval by the sages (2 Kings, 9:30; Jeremiah 4:30; Ezekiel 23:40). In contrast, Job named one of his daughters “Keren Happukh”- “horn of eye paint” (Job 42:14)

Great importance was attached to the care for hair in ancient times
Besides beautification, its purpose was also medicinal as covering the sensitive skin of the lids with colored ointments that prevented dryness and eye diseases: the eye-paint repelled the little flies that transmitted eye inflammations. Egyptian women colored the upper eyelid black and the lower one green and painted the space between the upper lid and the eyebrow gray and blue. The women of Mesopotamia favored yellows and reds
Cosmetics were also connected with cultic worship and witchcraft: to appease the various gods, fragrant ointments were applied to the statuary images and even to their attendants. From this, in the course of time, developed the custom of personal use, to enhance the beauty of the face and the body, and to conceal defects
And the Queen of Sheba brought to Solomon “camels laden with spices, gold in great quantity and precious stones.” (1 Kings 10:2, 10). However, within time, the use of cosmetics became the custom of that period
The written and pictorial descriptions, as well as archaeological findings, all show how important body care and aesthetic appearance were in the lives of the ancient people. The chain of evidence spans many centuries, detailing the usage of cosmetics in various cultures from the earliest period of recorded history.

In antiquity, however, at least in the onset, cosmetics served in religious ceremonies and for healing purposes",The teachings in the Bible were repeatedly against the use of kohl for painting the eyes.,1
"In many habitats, there are species that are particularly susceptible to shifting conditions, and these can be used as indicator species.

In the media, it is usually large, charismatic animals such as pandas, elephants, tigers and whales that get all the attention when a loss of biodiversity is discussed. However, animals or plants far lower down the food chain are often the ones vital for preserving habitats – in the process saving the skins of those more glamorous species
But the new figures almost certainly underestimate the crisis. Some 1.2 million species of animal and 270,000 species of plant have been classified, but the well-being of only a fraction has been assessed. The resources are simply not available. The IUCN reports that 5714 plants are threatened, for example, but admits that only 4 per cent of known plants has been assessed. And, of course, there are thousands of species that we have yet to discover
It seems biodiversity has become a buzzword beloved of politicians, conservationists, protesters and scientists alike
Many of these could also be facing extinction.

It is important to develop a picture of the diversity of life on Earth now so that comparisons can be made in the future and trends identified. But it isn’t necessary to observe every single type of organism in an area to get a snapshot of the health of the ecosystem
There are known as keystone species.

By studying the complex feeding relationships within habitats, species can be identified that have a particularly important impact on the environment. For example, the members of the fig family are the staple food for hundreds of different species in many different countries, so important that scientists sometimes call figs “jungle burgers”",The press more often than not focuses on animals well-known.,1
"As Squares said, “When an athlete wins for Mexico, it is always as a result of a combined team effort with many people operating behind the scenes to realise the sporting achievement. When an athlete stands on the dais, it is because of great effort on the part of many.”
As is often the case in some poorer countries, sportsmen and women are stifled in their development due to budgetary constraints
Through detailed scientific evaluation here at our facility in Deporte,” says Squares, “… we are able to construct a very specific training programme for each individual.”
Whereas many countries in die world focus on the elevation of the glorious champion, the Mexican Olympic team takes a slightly different approach. Psychologically speaking an athlete must bring to his endeavour a healthy dose of humility
From budding child athletes as young as 9 to the more mature-aged sportsperson, the facility at Deporte has attracted some of Mexico's most famous sporting and Olympic hopefuls.
“The study of elite athletes is now more scientific than ever” says doctor Francisco Javier Squares, “after each competition, athletes are exposed to vigorous medical examinations and follow-up training in order to help US arrive at a program that is tailor-made
“The modern athlete has become big business, no longer is there a one-size-fits-all approach. For example, in the past two people both 1.70 meters tall and weighing 70 kilograms would have been given the same program of athletic conditioning – now this idea is obsolete
In Mexico, the Medicine Direction and .Applied Sciences of the National Commission of Deporte analyses all aspects of sports science from the role of the auditory system in sporting achievement to die power of the mind and its role in the ability to win. Everything, it seems, is open to scrutiny", Lack of money is what stops athletic improvement in some poor countries.,1
"scientists believed, that cold-blooded dinosaurs could survive in such bleak, frigid conditions. But according to Alaskan dinosaur expert Tony Fiorillo. they eventually realised they were missing a trick.

The first discovery of dinosaurs in Alaska was actually made by a geologist called Robert Liscomb in 1961.' says Fiorillo
With this advantage, it took over as Alaska's dominant therapod.' explains Fiorillo.

Finding itself at the top of the food chain, the dinosaur evolved to giant proportions.

It is true that some of the most staggering of recent developments have come from palaeontologists being in the right place at the right time, but this is no reflection on their knowledge or expertise. After all, not everyone knows when they've stumbled upon something remarkable
'Unfortunately, Robert was killed in a rockslide the following year, so his discoveries languished in a warehouse for the next two decades.' In the mid-1980s, managers at the warehouse stumbled upon the box containing Liscomb's fossils during a spring clean. The bones were sent to the United States Geological Survey, where they were identified as belonging to Edmontosaurus. a duck-billed hadrosaur
Today, palaeontologists roam this frozen treasure trove searching for remains locked away in the permafrost.

The rewards are worth the effort. While studying teeth belonging to the relatively intelligent Troodon therapod. Fiorillo discovered the teeth of the Alaskan Troodon were double the size of those of its southern counterpart. 'Even though the morphology of individual teeth resembled that of Troodon",The bones originally discovered by Robert Liscomb changed the attitude of palaeontologists towards north Alaska.,1
"'Radishes are OK, but carrots, potatoes, that kind of thing – the roots are simply too long. Fruit trees are obviously not an option. And beans tend to take up a lot of space for not much return.' Nevertheless, urban farming of the kind being practised in Paris is one part of a bigger and fast-changing picture that is bringing food production closer to our lives.
'You can select crop varieties for their flavour, not their resistance to the transport and storage chain, and you can pick them when they're really at their best, and not before.' No soil is exhausted, and the water that gently showers the plants' roots every 12 minutes is recycled, SO the method uses 90% less water than a classic intensive farm for the same yield.

Urban farming is not, of course, a new phenomenon
In Paris, urban farmers are trying a soil-free approach to agriculture that uses less space and fewer resources. Could it help cities face the threats to our food supplies?

On top of a striking new exhibition hall in southern Paris, the world's largest urban rooftop farm has started to bear fruit. Strawberries that are small, intensely flavoured and resplendently red sprout abundantly from large plastic tubes
It is cheap to run, too, consuming a tiny fraction of the electricity used by some techniques.

Produce grown this way typically sells at prices that, while generally higher than those of classic intensive agriculture, are lower than soil-based organic growers. There are limits to what farmers can grow this way, of course, and much of the produce is suited to the summer months. 'Root vegetables we cannot do, at least not yet,' he says",Beans take longer to grow on an urban farm than other vegetables.,3
"In less than twenty years western cinema had grown out of all recognition; its unknowns became the most famous people in the world; it made millions. It never occurred to its financial backers that another continent might borrow their magic box and make it its own
There has always been a sense in which America and Europe owned film. They invented it at the end of the nineteenth century in unfashionable places like New Jersey, Leeds and the suburbs of Lyons. At first, they saw their clumsy new camera-projectors merely as more profitable versions of Victorian lantern shows, mechanical curiosities which might have a use as a sideshow at a funfair
D W Griffith in California glimpsed its grace, German directors used it as an analogue to the human mind and the modernising city, Soviets emphasised its agitational and intellectual properties, and the Italians reconfigured it on an operatic scale.

So heady were these first decades of cinema that America and Europe can be forgiven for assuming that they were the only game in town
The films were stylistically more wide ranging than the western musical, encompassing realism and escapist dance within individual sequences, and they were often three hours long rather than Hollywood's 90 minutes. The cost of such productions resulted in a distinctive national style of cinema. They were often made in Bombay, the centre of what is now known as 'Bollywood'
Just as deep ideas about individual freedom have led to the aspirational cinema of Hollywood, so it is the beliefs which underlie cultures such as those of China and Japan that explain the distinctiveness of Asian cinema at its best. Yes, these films are visually striking, but it is their different sense of what a person is, and what space and action are, which makes them new to western eye.",The inventors of cinema regarded it as a minor attraction.,1
"Steller sea lion populations declined by 36% in the Gulf of Alaska between 1977 and 1985 , and by another 59% between 1985 and . Northern fur seals declined about 35% by 1986 from their average numbers in the 1970s, although numbers had rebounded somewhat (20%) by 1990 
Associated with the declines in Steller sea lions are declines in birth rate, fewer breeding females, fewer pups, decreased adult body condition, decreased juvenile survival, and a change in population age structure.
Walker noticed that monsoon seasons with low-index conditions are often marked by drought in Australia, Indonesia, India, and parts of Africa. He also claimed that low-index winters tend to be unusually mild in western Canada
But Hatch thinks that it is too early to decide the these die-offs reports are somehow connected with effect of El nino
Byrd and Tobish believe that high rainfall can affect survival of chicks in earthen burrows, and incidence of big storms with high winds during the chick-rearing period can cause mortality for chicks of species nesting on cliff-ledges, but this view has not been considered as convincing evidence.
As prey availability changes in response to climatically driven factors such as surface sea temperature and extent of sea ice, so will populations of seabirds be affected.
Seabirds are valued as indicators of healthy marine ecosystems and provide a “vicarious use value” or existence value—people appreciate and value seabirds simply because they are there and enjoy them through venues such as pictures, nature programs, and written accounts without ever directly observing seabirds in their native environment","Steller sea lions only decline in birth rate and fewer pups, but the whole population wouldn't be affected by the changes.",2
"They are trying to make sure that cacao can be grown in a way that is fair to the timers and safe for the environment.

To become chocolate, cacao seeds go through a long production process in a factory. Workers must sort, clean and cook the seeds. Then they break off the covering of the seeds so that only the inside fruit, or nibs, remain. Workers crush the nibs into a soft substance called chocolate liquor
But these trees can be difficult to grow. They require an exact amount of water, warmth, soil and protection. After about five years, cacao trees start producing large fruits called pods, which grow near the trunk of the tree. The seeds inside the pods are harvested to make chocolate. There are several kinds of cacao trees. Most of the world’s chocolate is made from the seed of the forastero tree
This gets separated into cocoa solids and fat called cocoa butter. Chocolate makers have their own special recipes in which they combine chocolate liquor with exact amounts of sugar, milk and cocoa fat. They finely crush this “crumb” mixture in order to make it smooth. The mixture then goes through two more processes before it is shaped into a mold form.

Chocolate making is big business
The English, Dutch and French began to plant cacao trees in their own colonies. Chocolate remained a drink that only wealthy people could afford to drink until the eighteenth century. During the period known as the Industrial Revolution, new technologies helped make chocolate less costly to produce.

Farmers grow cacao trees in many countries in Africa, Central and South America. The trees grow in the shady areas of the rainforests near the Earth’s equator",some parts in cacao seed are get rid of during the chocolate process,1
"Any differences between them -one twin having younger looking skin, for example - must be due to environmental factors such as less time spent in the sun.

Alternatively, by comparing the experiences of identical twins with those of fraternal twins, who come from separate eggs and share on average half their DNA, researchers can quantify the extent to which our genes affect our lives
To biomedical researchers all over the world, twins offer a precious opportunity to untangle the influence of genes and the environment - of nature and nurture. Because identical twins come from a single fertilized egg that splits into two, they share virtually the same genetic code
Other epigenetic processes appear to occur randomly, while others are normal, such as those that guide embryonic cells as they become heart, brain, or liver cells, for example.

Geneticist Danielle Reed has worked with many twins over the years and thought deeply about what twin studies have taught us. 'It's very clear when you look at twins that much of what they share is hardwired,' she says
If identical twins are more similar to each other with respect to an ailment than fraternal twins are, then vulnerability to the disease must be rooted at least in part in heredity.

These two lines of research - studying the differences between identical twins to pinpoint the influence of environment, and comparing identical twins with fraternal ones to measure the role of inheritance - have been crucial to understanding the interplay of nature and nurture in determining our personalities, behavior, and vulnerability to disease.

The idea of using twins to measure the influence of heredity dates back to 1875, when the English scientist Francis Galton first suggested the approach (and coined the phrase 'nature and nurture')",Twins are at greater risk of developing certain illnesses than non-twins.,3
"The amount of time people spend watching television is astonishing. On average, individuals in the industrialized world devote three hours a day to the pursuit – fully half of their leisure time, and more than on any single activity save work and sleep. At this rate, someone who lives to 75 would spend nine years in front of the tube. To some commentators, this devotion means simply that people enjoy TV and make a conscious decision to watch it
We found that heavy viewers report feeling significantly more anxious and less happy than light viewers do in unstructured situations, such as doing nothing, daydreaming or waiting in line. The difference widens when the viewer is alone. Subsequently, Robert D. McIlwraith of the University of Manitoba extensively studies those who called themselves TV addicts on surveys
After watching TV, people’s moods are about the same or worse than before. That may be because of viewers’ vague learned sense that they will feel less relaxed if they stop viewing. So they tend not to turn the set-off. Viewing begets more viewing which is the same as the experience of habit-forming drugs. Thus, the irony of TV: people watch a great deal longer than they plan to, even though prolonged viewing is less rewarding
But if that is the whole story, why do so many people experience misgivings about how much they view? In Gallup polls in 1992 and 1999, two out of five adult respondents and seven out of 10 teenagers said they spent too much time watching TV
In our ESM studies the longer people sat in front of the set, the less satisfaction they said they derived from it. For some, a twinge of unease or guilt that they aren’t doing something more productive may also accompany and depreciate the enjoyment of prolonged viewing. Researchers in Japan, the U.K. and the U.S",It is reported that people’s satisfaction is in proportion to the time they spend watching TV.,2
"Almost 50% of the children had more than one ethnicity.

The first three reports of GUiNZ ae descriptive, portraying the cohort before birth, at nine months, and at two years of age. Already, the first report, Before we are born, has made history as it contains interviews with the children's mothers and fathers
Born between March 2009 and May 20I0, the 6,846 babies recruited came from a densely populated area of New Zealand, and it is hoped they will be followed until they reach the age of 21.

By 2014, fur reports, collectively known as Growing Up in New Zealand (GUiNZ), had been published, showing New Zealand to be a complex, changing country, with the participants and their families' being markedly diﬀerent from those of previous generations.

Of the 6,846 babies, the majority were identified as European New Zealanders, but one quarter was Maori (indigenous New Zealanders), 20% were Pacific (originating in islands in the Pacific), and one in six were Asian
However, one-third of the children were born to either a mother or a father who did not grow up in New Zealand – a significant diﬀerence from previous longitudinal studies in which a vast majority of parents were New Zealanders born and bred. Around 60% of the births in the cohort were planned, and most families hoped to have two or three children
The factors include: being born to an adolescent mother; having one or both parents on income-tested benefits; and, living in cramped conditions.

In addition to descriptive ones, future reports will focus on children who move in and out of vulnerability to see how these transitions aﬀect their later life.

To date, GUiNZ has been highly successful with only a very small dropout rate for participants – even those living abroad, predominantly in Australia, have continued to provide information","Exactly 6,846 babies formed the GUiNZ cohort.",1
"He hopes it will help residents find fresh food in urban areas where the stores sell mostly packaged snacks or fast food, areas otherwise known as food deserts. The aim of the project is also to assist government officials in assessing food availability, and in forming future policies about what kind of food should be sold and where.

In fact, the Brooklyn project represents the intersection of two growing trends: mapping fresh food markets in US cities, and private citizens creating online maps of local neighborhood features
They'll start advertising it online and by email to other community groups, such as urban food garden associations, next month. He also hopes warmer days in the spring will draw out fresh volunteers to spread awareness and to finish surveying, as they have about two-thirds of Brooklyn left to cover.
These maps help cities identify where food deserts are and, occasionally, have documented that people living in food deserts have higher rates of diet-related diseases.

The Brooklyn project differs in that it's run by a local core of five volunteers who have worked on the project for the past year, rather than trained, academic researchers
It was launched only recently, but its creators haven't yet set up systems to see who's looking at it.

Experts who visited the Brooklyn group's site were optimistic but cautious. ‘This kind of detailed information could be very useful' says Michele Ver Ploeg, an economist for the Department of Agriculture. To make the map more helpful to both residents and policy makers, she would like to see price data for healthy products, too
Like Brooklyn Food Association volunteers, many citizen online map makers use maps to bring local problems to official attention, Goodchild says. Heehs, the mapping project leader, says that after his group gathers more data, it will compare neighborhoods, come up with solutions to address local needs, and then present them to New York City officials. Their website hasn't caught them much local or official attention yet, however",Jeffrey Heehs would like more people to assist with the Brooklyn project research,1
"Fulmars, storm-petrels and kittiwakes are surface feeders, picking their prey from the surface or just below the surface; murres, auklets, and puffins dive for their food. Fulmars nest primarily on island groups in and around the Bering Sea
Furthermore, the rich knowledge base about seabirds makes them a valuable resource as indicator species for measurement of change in the marine environment.
The most abundant breeding species in Alaska are northern fulmars, storm-petrels, kittiwakes, murres, auklets and puffins. These species also form the largest colonies
As prey availability changes in response to climatically driven factors such as surface sea temperature and extent of sea ice, so will populations of seabirds be affected.
Seabirds are valued as indicators of healthy marine ecosystems and provide a “vicarious use value” or existence value—people appreciate and value seabirds simply because they are there and enjoy them through venues such as pictures, nature programs, and written accounts without ever directly observing seabirds in their native environment
The Bering Sea region is particularly important to seabirds; populations there are larger and more diverse than in any similar region in North America—over 90% of seabirds breeding in the continental United States are found in this region. Seabirds, so named because they spend at least 80% of their lives at sea, are dependent upon marine resources for food
Shearwaters, which breed in the southern hemisphere, are the most numerous species in Alaskan waters during the summer.
As another indication that food has been limiting in recent years, several largescale die-offs of seabirds, mostly surface-feeding species, have been observed in the Gulf of Alaska during the last decade, most notably in 1983, 1989，and 1993 ",Seabirds such as Fulmars and Murres feed by the characteristic of prey in different ways.,1
"These gondolas always weigh the same, whether or not they are carrying boats. 

This is because, according to Archimedes' principle of displacement, floating objects displace their own weight in water. So when a boat enters a gondola, the amount of water leaving the gondola weighs exactly the same as the boat
--> NOT GIVEN (not mention any boat life bolted by hand like Falkrik Wheel) 

The Wheel consists of two sets of opposing axe-shaped arms, attached about 25 metres apart to a fixed central spine.

Two diametrically opposed water-filled 'gondolas', each with a capacity of 360,000 litres, are fitted between the ends of the arms
When the gondola reaches the top, the boat passes straight onto the aqueduct situated 24 metres above the canal basin.

The remaining 11 metres of lift needed to reach the Union Canal is achieved by means of a pair of locks
The axle connects to the outer arms of the Wheel, which begin to rotate at a speed of 1/8 of a revolution per minute. As the wheel rotates, the gondolas are kept in the upright position by a simple gearing system
Two eight-metre-wide cogs orbit a fixed inner cog of the same width, connected by two smaller cogs travelling in the opposite direction to the outer cogs - so ensuring that the gondolas always remain level",The weight of the gondolas varies according to the size of boat being carried.,2
"Here are some of the advantages of incorporating regular exercise into your routine.

Improved Cardiovascular Health: Regular exercise helps strengthen the heart and improve circulation, reducing the risk of heart diseases.

Weight Management: Physical activity is crucial for maintaining a healthy weight by burning calories and boosting metabolism.

Enhanced Mental Health: Exercise releases endorphins, known as ""feel-good"" hormones, which can alleviate stress, anxiety, and depression.

Increased Muscle Strength and Flexibility: Regular workouts help build and tone muscles, improving overall strength and flexibility.

Better Sleep Quality: Those who exercise regularly often experience better sleep patterns, contributing to overall well-restedness.

Boosted Immune System: Regular physical activity has been linked to a strengthened immune system, reducing the likelihood of illness.

Improved Cognitive Function: Exercise is associated with better cognitive function, including enhanced memory and concentration.

Social Benefits: Participating in group exercises or sports provides opportunities for social interaction and can help build a sense of community.

Reduced Risk of Chronic Diseases: Regular physical activity is associated with a lower risk of chronic conditions such as diabetes, hypertension, and certain cancers.

Increased Lifespan: Studies suggest that regular exercise is linked to a longer, healthier life.
Regular exercise is widely recognized as a key component of a healthy lifestyle. Engaging in physical activity brings about numerous benefits that contribute to both physical and mental well-being",Muscle strength and flexibility are not influenced by regular workouts.,2
"The head and body of the fake composite belonged to Yanornis martini, a primitive fish-eating bird from around 120 million years ago. The dromaeosaur tail and hind legs, however, were covered in what looked like fine proto feathers. That fossil turned out to be something special. In 2000. Xu named it Microraptor and revealed that it had probably lived in the treetops
He was recording a documentary in the Gobi Desert Inner Mongolia.

'The production team were filming me and a geologist digging out what we thought were sauropod bones.' says Xu. 'when I realised the fossils were something else entirely.' Gigantoraptor, as it later became known, turned out to be an oviraptorid, a therapod with a bird-like beak
One of these is Gigantoraptor erlianensis. Discovered in 2005. it stands more than three metres high at the hip and is the biggest bird-like dinosaur ever unearthed Yet its discoverer. Xu Xing of Beijing's Institute of Vertebrate Palaeontology and Paleoanthropology, was not even looking for it at the time
scientists believed, that cold-blooded dinosaurs could survive in such bleak, frigid conditions. But according to Alaskan dinosaur expert Tony Fiorillo. they eventually realised they were missing a trick.

The first discovery of dinosaurs in Alaska was actually made by a geologist called Robert Liscomb in 1961.' says Fiorillo","Like Gigantoraptor, Yanomis martini was first discovered in China.",3
"Then both groups were required to read a new set of words constructed from the original characters. In general, readers who were taught the rules of phonics could read many more new words than those trained with a whole-word procedure.
Classroom studies comparing phonics with either whole-word or whole-language instruction are also quite illuminating. One particularly persuasive study compared two programmes used in 20 first-grade classrooms
The presumed benefits of whole-language instruction – and the contrast to the perceived dullness of phonics – led to its growing acceptance across American during the 1990s and a movement away from phonics.
However, many linguists and psychologists objected strongly to the abandonment of phonics in American schools
This study found that the first group scored higher at year's end on tests of reading and comprehension.
If researchers are so convinced about the need for phonics instruction, why does the debate continue? Because the controversy is enmeshed in the philosophical differences between traditional and progressive (or new) approaches, differences that have divided educators for years
Using whole-language activities to supplement phonics instruction certainly helps to make reading fun and meaningful for children, so no one would want to see such tools discarded. Indeed, recent work has indicated that the combination of literature-based instruction and phonics is more powerful than either method used alone.
Teachers need to strike a balance. But in doing so, we urge them to remember that reading must be grounded in a firm understanding of the connections between letters and sounds
This procedure constitutes a second approach to teaching reading – phonics.
Many schools have adopted a different approach: the whole-language method. The strategy here relies on the child's experience with the language",Research has shown that phonics is more successful than both the whole-word and whole-language approaches.,1
"However, one-third of the children were born to either a mother or a father who did not grow up in New Zealand – a significant diﬀerence from previous longitudinal studies in which a vast majority of parents were New Zealanders born and bred. Around 60% of the births in the cohort were planned, and most families hoped to have two or three children
Many of the babies were put in childcare while their mothers worked or studied, and the providers varied by ethnicity: children who were Maori or Pacific were more likely to be looked after by grandparents; European New Zealanders tended to be sent to daycare.

Now we are two, the third report, provides more insights into the children's development – physically, emotionally, behaviourally, and cognitively
The factors include: being born to an adolescent mother; having one or both parents on income-tested benefits; and, living in cramped conditions.

In addition to descriptive ones, future reports will focus on children who move in and out of vulnerability to see how these transitions aﬀect their later life.

To date, GUiNZ has been highly successful with only a very small dropout rate for participants – even those living abroad, predominantly in Australia, have continued to provide information",Parents who took part in GUiNZ believe New Zealand is a good place to raise children.,3
"Life back in England meant frequently changed addresses and very limited funds.

Between 1915 and 1918, Mansfield moved between England and Bandoi, France. She and Murry developed close contact with other well-known writers of the time such as DH Lawrence, Bertrand Russell and Aldous Huxley. By October 1918 Mansfield had become seriously ill; she had been diagnosed with tuberculosis and was advised to enter a sanatorium
She was particularly interested in the works of the French writers of this period and on the 19th- century British writer, Oscar Wilde, and she was appreciated amongst fellow students at Queen's for her lively and charismatic approach to life and work. She met follow writer Ida Baker, a South African, at the college, and the pair became lifelong friends. Mansfield did not actively support the suffragette movement in the Uk
Women in New Zeland had gained the right to vote in 1893.

Mansfield first began journeying into the other parts of Europe in the period 1903-1906, mainly to Belgium and Germany. After finishing her schooling in England, she returned to her New Zealand home in 1906, only then beginning to write short stories in a serious way
She had several works published in Australia in a magazine called Native Comparison, which was her first paid writing work, and by this time she had her mind set on becoming a professional writer. It was also the first occasion on which she used the pseudonym ""k.Mansfied"".

Mansfield rapidly grew discontented with the provincial New Zealand lifestyle, and with her family. Two years later she headed again in London"," In London, Mansfield showed little interest in politics.",1
"The explosion in demand for accommodation in the inner suburbs of Melbourne suggests a recent change in many people's preferences as to where they live.

Newman says this is a new, broader way of considering public transport issues. In the past, the case for public transport has been made on the basis of environmental and social justice considerations rather than economics
He describes it as two cities: 'A European city surrounded by a car-dependent one'. Melbourne's large tram network has made car use in the inner city much lower, but the outer suburbs have the same car-based structure as most other Australian cities
As a result, 17% of its wealth went into transport costs. Some European and Asian cities, on the other hand, spent as little as 5%. Professor Peter Newman, ISTP Director, pointed out that these more efficient cities were able to put the difference into attracting industry and jobs or creating a better place to live.

According to Professor Newman, the larger Australian city of Melbourne is a rather unusual city in this sort of comparison
In cities that developed later, the World Bank and Asian Development Bank discouraged the building of public transport and people have been forced to rely on cars -creating the massive traffic jams that characterize those cities.
Newman believes one of the best studies on how cities built for cars might be converted to rail use is The Urban Village report, which used Melbourne as an example. It found that pushing everyone into the city centre was not the best approach
One objection is climate. Some people say their city could not make more use of public transport because it is either too hot or too cold. Newman rejects this, pointing out that public transport has been successful in both Toronto and Singapore and, in fact, he has checked the use of cars against climate and found 'zero correlation'. 

When it comes to other physical features, road lobbies are on stronger ground","In Melbourne, people prefer to live in the outer suburbs.",2
"If ever there was a stadium to persuade a sceptic like myself that the Olympic Games do, after all, have a useful function in at least setting design and planning trends, this was the one. 1 was, and still am, I freely confess, quite knocked out by Stadium Australia.
Certainly, when 1 first started writing about stadium architecture, one of the first and most uncomfortable truths 1 had to confront was that some of the mast popular stadiums in the world were also amongst the the least attractive or innovative in architectural terms. ‘Worthy and predictable' has usually won more votes than 'daring and different'. Old Trafford football ground in Manchester, the Yankee Stadium in New York, Ellis Park in Johannesburg
Equally, those stadiums whose forms have been revered – such as the Maracana in Rio, oi the San Siro in Milan – have turned out to be rather poorly designed in several respects, once one analyses them not as icons but as functioning ‘public assembly facilities' (to use the current jargon)
What better way, therefore, to raise the general public's awareness and appreciation of quality design than to offer them the very' best buildings in the one area of life that seems to touch them most? Could it even be drat better stadiums might just make tor better citizens?

B But then maybe, as my detractors have labelled me in the past, 1 am a snob",Some stadiums have come in for a lot more criticism than others.,3
"

Machover’s passion for pushing at the boundaries of the existing world to extend and unleash human potential is not a bad description of MIT as a whole. This unusual community brings highly gifted, highly motivated individuals together from a vast range of disciplines, united by a common desire: to leap into the dark and reach for the unknown.

The result of that single unifying ambition is visible all around. For the past 150 years, MIT has been leading the world into the future
Alternatively, he might become one of those who go on to succeed in spectacular fashion. And there are many of them. A survey of living MIT alumni* found that they have formed 25,800 companies, employing more than three million people, including about a quarter of the workforce of Silicon Valley. What MIT delights in is taking brilliant minds from around the world in vastly diverse disciplines and putting them together
the list of innovations that involved essential contributions from MIT and its faculty goes on and on.

From the moment MIT was founded by William Barton Rogers in 1861, it was clear what it was not. While Harvard stuck to the English model of a classical education, with its emphasis on Latin and Greek, MIT looked to the German system of learning based on research and hands-on experimentation
The musician Yo-Yo Ma’s cello may not be the obvious starting point for a journey into one of the world’s great universities. But, as you quickly realise when you step inside the Massachusetts Institute of Technology, there’s precious little going on that you would normally see on a university campus. The cello, resting in a corner of MIT’s celebrated media laboratory — a hub of creativity — looks like any other electric classical instrument",The activities going on at the MIT campus are like those at any other university.,2
"Reed beds are natural habitats found in floodplains, waterlogged depressions and estuaries. The natural bed systems are a biologically proved, an environmentally friendly and visually unobtrusive way of treating wastewater, and have the extra virtue of frequently being better than mechanical wastewater treatment systems.

Over the medium to long term reed bed systems are, in most cases, more cost effective to install than any other wastewater treatment
A vertical reed bed system works more efficiently than a horizontal reed bed system, but it requires more management, and its reed beds are often operated for a few days then rested, so several beds and a distribution system are needed.


The natural way of water purification has many advantages over the conventional mechanism. The natural way requires less expenditure for installation, operation and maintenance. Besides, it looks attractive and can improve the surrounding landscape
The conventional mechanism of water
purification used in big cities where there are large volumes of water to be purified is inappropriate in rural areas.


The common reed has the ability to transfer oxygen from its leaves, down through its stem and rhizomes, and out via its root system
The downside of horizontal reed beds is that they use up lots of land space and they do take quite a long time to produce clean water.


A vertical flow (downflow) reed bed is a sealed, gravel filled trench with reeds growing in it. The reeds in a downflow system are planted in a bed 60cm deep",The reed bed system is a conventional method for water treatment in urban areas.,2
"From automation to enhanced decision-making processes, the integration of AI has brought both challenges and opportunities to the IT sector.

Artificial Intelligence, often referred to as machine intelligence, involves the development of algorithms and models that enable machines to perform tasks that traditionally required human intelligence. In the IT industry, AI is applied across a spectrum of functions, ranging from data analysis and software development to cybersecurity and customer service.

One of the notable impacts of AI in IT is the automation of repetitive tasks
In recent years, the rapid advancement of Artificial Intelligence (AI) has significantly transformed the landscape of the Information Technology (IT) industry. As AI technologies continue to evolve, their impact on various aspects of IT is becoming more profound
The predictive analytics capabilities of AI contribute to more informed and strategic business decisions.

However, the integration of AI in IT also presents challenges, such as concerns about job displacement due to automation. As machines take over routine tasks, there is a need for upskilling the workforce to ensure they can adapt to the changing demands of the industry. Additionally, ethical considerations regarding the use of AI and its potential biases are important aspects that IT professionals must address.
AI-powered systems can efficiently handle routine operations, freeing up human resources to focus on more complex and creative aspects of their work. This has led to increased efficiency and productivity within IT organizations.

Furthermore, AI plays a crucial role in data analytics. The ability of AI algorithms to process vast amounts of data and derive meaningful insights has revolutionized how IT professionals approach decision-making",The primary role of AI in IT is to create a more creative workforce.,2
"The survey, which monitored 700 11-16-year-olds, found that 48 per cent of girls and 41 per cent of boys already exceeded safe cholesterol levels set for children by the American Heart Foundation. Armstrong adds, “heart is a muscle and need exercise, or it loses its strength.” It also found that 13 per cent of boys and 10 per cent of girls were overweight
More disturbingly, the survey found that over a four-day period, half the girls and one-third of the boys did less exercise than the equivalent of a brisk 10-minute walk. High levels of cholesterol, excess body fat and inactivity are believed to increase the risk of coronary heart disease.
Physical education is under pressure in the UK – most schools devote little more than 100 minutes a week to it in curriculum time, which is less than many other European countries
‘Ninety per cent of children don't like team sports,' says company director, Gillian Gale.
A Prevention survey found that children whose parents keep in shape are much more likely to have healthy body weights themselves. “There's nothing worse than telling a child what he needs to do and not doing it yourself,” says Elizabeth Ward, R.D., a Boston nutritional consultant and author of Healthy Foods, Healthy Kids 
The sight of 15 bouncing seven-year-olds who seem about to launch into orbit at every bounce brings tears to the eyes. Uncoordinated, loud, excited and emotional, children provide raw comedy.
Any cardiovascular exercise is a good option, and it doesn't necessarily have to be high intensity. It can be anything that gets your heart rate up: such as walking the dog, swimming, miming, skipping, hiking","According to American Heart Foundation, cholesterol levels of boys are higher than girls'.",3
